-- Dummy data: 300 rows for subscription_management schema
-- Table: customers (no portal_user_id; safe if you already have users/roles).
-- Run in MySQL after: SOURCE subscription_management.sql (or existing DB).
-- Suggested order: 1) this file, 2) dummy_products_300.txt, 3) dummy_subscriptions_300.txt

SET FOREIGN_KEY_CHECKS=0;
INSERT INTO customers (customer_name, email, phone, company_name, billing_address, shipping_address, tax_number, portal_user_id, status) VALUES
  ('Dummy Customer 1', 'dummy.customer.1@example.test', '+1-555-1001', 'Acme Division 2 LLC', '1 Test Street, Suite 1, Metro City, TC 10001', '1 Ship Lane, Dock 1, Port Town, PT 90210', 'TAX-1000001', NULL, 'ACTIVE'),
  ('Dummy Customer 12', 'dummy.customer.12@example.test', '+1-555-1012', 'Acme Division 13 LLC', '12 Test Street, Suite 12, Metro City, TC 10012', '12 Ship Lane, Dock 12, Port Town, PT 90210', 'TAX-1000012', NULL, 'ACTIVE'),
  ('Dummy Customer 13', 'dummy.customer.13@example.test', '+1-555-1013', 'Acme Division 14 LLC', '13 Test Street, Suite 13, Metro City, TC 10013', '13 Ship Lane, Dock 13, Port Town, PT 90210', 'TAX-1000013', NULL, 'ACTIVE'),
  ('Dummy Customer 14', 'dummy.customer.14@example.test', '+1-555-1014', 'Acme Division 15 LLC', '14 Test Street, Suite 14, Metro City, TC 10014', '14 Test Street, Suite 14, Metro City, TC 10014', 'TAX-1000014', NULL, 'ACTIVE'),
  ('Dummy Customer 15', 'dummy.customer.15@example.test', '+1-555-1015', 'Acme Division 16 LLC', '15 Test Street, Suite 15, Metro City, TC 10015', '15 Ship Lane, Dock 15, Port Town, PT 90210', 'TAX-1000015', NULL, 'ACTIVE'),
  ('Dummy Customer 16', 'dummy.customer.16@example.test', '+1-555-1016', 'Acme Division 17 LLC', '16 Test Street, Suite 16, Metro City, TC 10016', '16 Ship Lane, Dock 16, Port Town, PT 90210', 'TAX-1000016', NULL, 'ACTIVE'),
  ('Dummy Customer 17', 'dummy.customer.17@example.test', '+1-555-1017', 'Acme Division 18 LLC', '17 Test Street, Suite 17, Metro City, TC 10017', '17 Ship Lane, Dock 17, Port Town, PT 90210', 'TAX-1000017', NULL, 'ACTIVE'),
  ('Dummy Customer 18', 'dummy.customer.18@example.test', '+1-555-1018', 'Acme Division 19 LLC', '18 Test Street, Suite 18, Metro City, TC 10018', '18 Ship Lane, Dock 18, Port Town, PT 90210', 'TAX-1000018', NULL, 'ACTIVE'),
  ('Dummy Customer 19', 'dummy.customer.19@example.test', '+1-555-1019', 'Acme Division 20 LLC', '19 Test Street, Suite 19, Metro City, TC 10019', '19 Ship Lane, Dock 19, Port Town, PT 90210', 'TAX-1000019', NULL, 'ACTIVE'),
  ('Dummy Customer 20', 'dummy.customer.20@example.test', '+1-555-1020', 'Acme Division 21 LLC', '20 Test Street, Suite 20, Metro City, TC 10020', '20 Ship Lane, Dock 20, Port Town, PT 90210', 'TAX-1000020', NULL, 'ACTIVE'),
  ('Dummy Customer 21', 'dummy.customer.21@example.test', '+1-555-1021', 'Acme Division 22 LLC', '21 Test Street, Suite 21, Metro City, TC 10021', '21 Test Street, Suite 21, Metro City, TC 10021', 'TAX-1000021', NULL, 'ACTIVE'),
  ('Dummy Customer 22', 'dummy.customer.22@example.test', '+1-555-1022', 'Acme Division 23 LLC', '22 Test Street, Suite 22, Metro City, TC 10022', '22 Ship Lane, Dock 22, Port Town, PT 90210', 'TAX-1000022', NULL, 'ACTIVE'),
  ('Dummy Customer 23', 'dummy.customer.23@example.test', '+1-555-1023', 'Acme Division 24 LLC', '23 Test Street, Suite 23, Metro City, TC 10023', '23 Ship Lane, Dock 23, Port Town, PT 90210', 'TAX-1000023', NULL, 'ACTIVE'),
  ('Dummy Customer 24', 'dummy.customer.24@example.test', '+1-555-1024', 'Acme Division 25 LLC', '24 Test Street, Suite 24, Metro City, TC 10024', '24 Ship Lane, Dock 24, Port Town, PT 90210', 'TAX-1000024', NULL, 'ACTIVE'),
  ('Dummy Customer 25', 'dummy.customer.25@example.test', '+1-555-1025', 'Acme Division 26 LLC', '25 Test Street, Suite 25, Metro City, TC 10025', '25 Ship Lane, Dock 25, Port Town, PT 90210', 'TAX-1000025', NULL, 'ACTIVE'),
  ('Dummy Customer 26', 'dummy.customer.26@example.test', '+1-555-1026', 'Acme Division 27 LLC', '26 Test Street, Suite 26, Metro City, TC 10026', '26 Ship Lane, Dock 26, Port Town, PT 90210', 'TAX-1000026', NULL, 'ACTIVE'),
  ('Dummy Customer 27', 'dummy.customer.27@example.test', '+1-555-1027', 'Acme Division 28 LLC', '27 Test Street, Suite 27, Metro City, TC 10027', '27 Ship Lane, Dock 27, Port Town, PT 90210', 'TAX-1000027', NULL, 'ACTIVE'),
  ('Dummy Customer 28', 'dummy.customer.28@example.test', '+1-555-1028', 'Acme Division 29 LLC', '28 Test Street, Suite 28, Metro City, TC 10028', '28 Test Street, Suite 28, Metro City, TC 10028', 'TAX-1000028', NULL, 'ACTIVE'),
  ('Dummy Customer 29', 'dummy.customer.29@example.test', '+1-555-1029', 'Acme Division 30 LLC', '29 Test Street, Suite 29, Metro City, TC 10029', '29 Ship Lane, Dock 29, Port Town, PT 90210', 'TAX-1000029', NULL, 'ACTIVE'),
  ('Dummy Customer 30', 'dummy.customer.30@example.test', '+1-555-1030', 'Acme Division 31 LLC', '30 Test Street, Suite 30, Metro City, TC 10030', '30 Ship Lane, Dock 0, Port Town, PT 90210', 'TAX-1000030', NULL, 'ACTIVE'),
  ('Dummy Customer 31', 'dummy.customer.31@example.test', '+1-555-1031', 'Acme Division 32 LLC', '31 Test Street, Suite 31, Metro City, TC 10031', '31 Ship Lane, Dock 1, Port Town, PT 90210', 'TAX-1000031', NULL, 'ACTIVE'),
  ('Dummy Customer 32', 'dummy.customer.32@example.test', '+1-555-1032', 'Acme Division 33 LLC', '32 Test Street, Suite 32, Metro City, TC 10032', '32 Ship Lane, Dock 2, Port Town, PT 90210', 'TAX-1000032', NULL, 'ACTIVE'),
  ('Dummy Customer 33', 'dummy.customer.33@example.test', '+1-555-1033', 'Acme Division 34 LLC', '33 Test Street, Suite 33, Metro City, TC 10033', '33 Ship Lane, Dock 3, Port Town, PT 90210', 'TAX-1000033', NULL, 'ACTIVE'),
  ('Dummy Customer 34', 'dummy.customer.34@example.test', '+1-555-1034', 'Acme Division 35 LLC', '34 Test Street, Suite 34, Metro City, TC 10034', '34 Ship Lane, Dock 4, Port Town, PT 90210', 'TAX-1000034', NULL, 'ACTIVE'),
  ('Dummy Customer 35', 'dummy.customer.35@example.test', '+1-555-1035', 'Acme Division 36 LLC', '35 Test Street, Suite 35, Metro City, TC 10035', '35 Test Street, Suite 35, Metro City, TC 10035', 'TAX-1000035', NULL, 'ACTIVE'),
  ('Dummy Customer 36', 'dummy.customer.36@example.test', '+1-555-1036', 'Acme Division 37 LLC', '36 Test Street, Suite 36, Metro City, TC 10036', '36 Ship Lane, Dock 6, Port Town, PT 90210', 'TAX-1000036', NULL, 'ACTIVE'),
  ('Dummy Customer 37', 'dummy.customer.37@example.test', '+1-555-1037', 'Acme Division 38 LLC', '37 Test Street, Suite 37, Metro City, TC 10037', '37 Ship Lane, Dock 7, Port Town, PT 90210', 'TAX-1000037', NULL, 'ACTIVE'),
  ('Dummy Customer 38', 'dummy.customer.38@example.test', '+1-555-1038', 'Acme Division 39 LLC', '38 Test Street, Suite 38, Metro City, TC 10038', '38 Ship Lane, Dock 8, Port Town, PT 90210', 'TAX-1000038', NULL, 'ACTIVE'),
  ('Dummy Customer 39', 'dummy.customer.39@example.test', '+1-555-1039', 'Acme Division 40 LLC', '39 Test Street, Suite 39, Metro City, TC 10039', '39 Ship Lane, Dock 9, Port Town, PT 90210', 'TAX-1000039', NULL, 'ACTIVE'),
  ('Dummy Customer 40', 'dummy.customer.40@example.test', '+1-555-1040', 'Acme Division 41 LLC', '40 Test Street, Suite 40, Metro City, TC 10040', '40 Ship Lane, Dock 10, Port Town, PT 90210', 'TAX-1000040', NULL, 'ACTIVE'),
  ('Dummy Customer 41', 'dummy.customer.41@example.test', '+1-555-1041', 'Acme Division 42 LLC', '41 Test Street, Suite 41, Metro City, TC 10041', '41 Ship Lane, Dock 11, Port Town, PT 90210', 'TAX-1000041', NULL, 'ACTIVE'),
  ('Dummy Customer 42', 'dummy.customer.42@example.test', '+1-555-1042', 'Acme Division 43 LLC', '42 Test Street, Suite 42, Metro City, TC 10042', '42 Test Street, Suite 42, Metro City, TC 10042', 'TAX-1000042', NULL, 'ACTIVE'),
  ('Dummy Customer 43', 'dummy.customer.43@example.test', '+1-555-1043', 'Acme Division 44 LLC', '43 Test Street, Suite 43, Metro City, TC 10043', '43 Ship Lane, Dock 13, Port Town, PT 90210', 'TAX-1000043', NULL, 'ACTIVE'),
  ('Dummy Customer 44', 'dummy.customer.44@example.test', '+1-555-1044', 'Acme Division 45 LLC', '44 Test Street, Suite 44, Metro City, TC 10044', '44 Ship Lane, Dock 14, Port Town, PT 90210', 'TAX-1000044', NULL, 'ACTIVE'),
  ('Dummy Customer 45', 'dummy.customer.45@example.test', '+1-555-1045', 'Acme Division 46 LLC', '45 Test Street, Suite 45, Metro City, TC 10045', '45 Ship Lane, Dock 15, Port Town, PT 90210', 'TAX-1000045', NULL, 'ACTIVE'),
  ('Dummy Customer 46', 'dummy.customer.46@example.test', '+1-555-1046', 'Acme Division 47 LLC', '46 Test Street, Suite 46, Metro City, TC 10046', '46 Ship Lane, Dock 16, Port Town, PT 90210', 'TAX-1000046', NULL, 'ACTIVE'),
  ('Dummy Customer 47', 'dummy.customer.47@example.test', '+1-555-1047', 'Acme Division 48 LLC', '47 Test Street, Suite 47, Metro City, TC 10047', '47 Ship Lane, Dock 17, Port Town, PT 90210', 'TAX-1000047', NULL, 'ACTIVE'),
  ('Dummy Customer 48', 'dummy.customer.48@example.test', '+1-555-1048', 'Acme Division 49 LLC', '48 Test Street, Suite 48, Metro City, TC 10048', '48 Ship Lane, Dock 18, Port Town, PT 90210', 'TAX-1000048', NULL, 'ACTIVE'),
  ('Dummy Customer 49', 'dummy.customer.49@example.test', '+1-555-1049', 'Acme Division 50 LLC', '49 Test Street, Suite 49, Metro City, TC 10049', '49 Test Street, Suite 49, Metro City, TC 10049', 'TAX-1000049', NULL, 'ACTIVE'),
  ('Dummy Customer 50', 'dummy.customer.50@example.test', '+1-555-1050', 'Acme Division 1 LLC', '50 Test Street, Suite 50, Metro City, TC 10050', '50 Ship Lane, Dock 20, Port Town, PT 90210', 'TAX-1000050', NULL, 'ACTIVE'),
  ('Dummy Customer 51', 'dummy.customer.51@example.test', '+1-555-1051', 'Acme Division 2 LLC', '51 Test Street, Suite 51, Metro City, TC 10051', '51 Ship Lane, Dock 21, Port Town, PT 90210', 'TAX-1000051', NULL, 'ACTIVE'),
  ('Dummy Customer 52', 'dummy.customer.52@example.test', '+1-555-1052', 'Acme Division 3 LLC', '52 Test Street, Suite 52, Metro City, TC 10052', '52 Ship Lane, Dock 22, Port Town, PT 90210', 'TAX-1000052', NULL, 'ACTIVE'),
  ('Dummy Customer 53', 'dummy.customer.53@example.test', '+1-555-1053', 'Acme Division 4 LLC', '53 Test Street, Suite 53, Metro City, TC 10053', '53 Ship Lane, Dock 23, Port Town, PT 90210', 'TAX-1000053', NULL, 'ACTIVE'),
  ('Dummy Customer 54', 'dummy.customer.54@example.test', '+1-555-1054', 'Acme Division 5 LLC', '54 Test Street, Suite 54, Metro City, TC 10054', '54 Ship Lane, Dock 24, Port Town, PT 90210', 'TAX-1000054', NULL, 'ACTIVE'),
  ('Dummy Customer 55', 'dummy.customer.55@example.test', '+1-555-1055', 'Acme Division 6 LLC', '55 Test Street, Suite 55, Metro City, TC 10055', '55 Ship Lane, Dock 25, Port Town, PT 90210', 'TAX-1000055', NULL, 'ACTIVE'),
  ('Dummy Customer 56', 'dummy.customer.56@example.test', '+1-555-1056', 'Acme Division 7 LLC', '56 Test Street, Suite 56, Metro City, TC 10056', '56 Test Street, Suite 56, Metro City, TC 10056', 'TAX-1000056', NULL, 'ACTIVE'),
  ('Dummy Customer 57', 'dummy.customer.57@example.test', '+1-555-1057', 'Acme Division 8 LLC', '57 Test Street, Suite 57, Metro City, TC 10057', '57 Ship Lane, Dock 27, Port Town, PT 90210', 'TAX-1000057', NULL, 'ACTIVE'),
  ('Dummy Customer 58', 'dummy.customer.58@example.test', '+1-555-1058', 'Acme Division 9 LLC', '58 Test Street, Suite 58, Metro City, TC 10058', '58 Ship Lane, Dock 28, Port Town, PT 90210', 'TAX-1000058', NULL, 'ACTIVE'),
  ('Dummy Customer 59', 'dummy.customer.59@example.test', '+1-555-1059', 'Acme Division 10 LLC', '59 Test Street, Suite 59, Metro City, TC 10059', '59 Ship Lane, Dock 29, Port Town, PT 90210', 'TAX-1000059', NULL, 'ACTIVE'),
  ('Dummy Customer 60', 'dummy.customer.60@example.test', '+1-555-1060', 'Acme Division 11 LLC', '60 Test Street, Suite 60, Metro City, TC 10060', '60 Ship Lane, Dock 0, Port Town, PT 90210', 'TAX-1000060', NULL, 'ACTIVE'),
  ('Dummy Customer 61', 'dummy.customer.61@example.test', '+1-555-1061', 'Acme Division 12 LLC', '61 Test Street, Suite 61, Metro City, TC 10061', '61 Ship Lane, Dock 1, Port Town, PT 90210', 'TAX-1000061', NULL, 'ACTIVE'),
  ('Dummy Customer 62', 'dummy.customer.62@example.test', '+1-555-1062', 'Acme Division 13 LLC', '62 Test Street, Suite 62, Metro City, TC 10062', '62 Ship Lane, Dock 2, Port Town, PT 90210', 'TAX-1000062', NULL, 'ACTIVE'),
  ('Dummy Customer 63', 'dummy.customer.63@example.test', '+1-555-1063', 'Acme Division 14 LLC', '63 Test Street, Suite 63, Metro City, TC 10063', '63 Test Street, Suite 63, Metro City, TC 10063', 'TAX-1000063', NULL, 'ACTIVE'),
  ('Dummy Customer 64', 'dummy.customer.64@example.test', '+1-555-1064', 'Acme Division 15 LLC', '64 Test Street, Suite 64, Metro City, TC 10064', '64 Ship Lane, Dock 4, Port Town, PT 90210', 'TAX-1000064', NULL, 'ACTIVE'),
  ('Dummy Customer 65', 'dummy.customer.65@example.test', '+1-555-1065', 'Acme Division 16 LLC', '65 Test Street, Suite 65, Metro City, TC 10065', '65 Ship Lane, Dock 5, Port Town, PT 90210', 'TAX-1000065', NULL, 'ACTIVE'),
  ('Dummy Customer 66', 'dummy.customer.66@example.test', '+1-555-1066', 'Acme Division 17 LLC', '66 Test Street, Suite 66, Metro City, TC 10066', '66 Ship Lane, Dock 6, Port Town, PT 90210', 'TAX-1000066', NULL, 'ACTIVE'),
  ('Dummy Customer 67', 'dummy.customer.67@example.test', '+1-555-1067', 'Acme Division 18 LLC', '67 Test Street, Suite 67, Metro City, TC 10067', '67 Ship Lane, Dock 7, Port Town, PT 90210', 'TAX-1000067', NULL, 'ACTIVE'),
  ('Dummy Customer 68', 'dummy.customer.68@example.test', '+1-555-1068', 'Acme Division 19 LLC', '68 Test Street, Suite 68, Metro City, TC 10068', '68 Ship Lane, Dock 8, Port Town, PT 90210', 'TAX-1000068', NULL, 'ACTIVE'),
  ('Dummy Customer 69', 'dummy.customer.69@example.test', '+1-555-1069', 'Acme Division 20 LLC', '69 Test Street, Suite 69, Metro City, TC 10069', '69 Ship Lane, Dock 9, Port Town, PT 90210', 'TAX-1000069', NULL, 'ACTIVE'),
  ('Dummy Customer 70', 'dummy.customer.70@example.test', '+1-555-1070', 'Acme Division 21 LLC', '70 Test Street, Suite 70, Metro City, TC 10070', '70 Test Street, Suite 70, Metro City, TC 10070', 'TAX-1000070', NULL, 'ACTIVE'),
  ('Dummy Customer 71', 'dummy.customer.71@example.test', '+1-555-1071', 'Acme Division 22 LLC', '71 Test Street, Suite 71, Metro City, TC 10071', '71 Ship Lane, Dock 11, Port Town, PT 90210', 'TAX-1000071', NULL, 'ACTIVE'),
  ('Dummy Customer 72', 'dummy.customer.72@example.test', '+1-555-1072', 'Acme Division 23 LLC', '72 Test Street, Suite 72, Metro City, TC 10072', '72 Ship Lane, Dock 12, Port Town, PT 90210', 'TAX-1000072', NULL, 'ACTIVE'),
  ('Dummy Customer 73', 'dummy.customer.73@example.test', '+1-555-1073', 'Acme Division 24 LLC', '73 Test Street, Suite 73, Metro City, TC 10073', '73 Ship Lane, Dock 13, Port Town, PT 90210', 'TAX-1000073', NULL, 'ACTIVE'),
  ('Dummy Customer 74', 'dummy.customer.74@example.test', '+1-555-1074', 'Acme Division 25 LLC', '74 Test Street, Suite 74, Metro City, TC 10074', '74 Ship Lane, Dock 14, Port Town, PT 90210', 'TAX-1000074', NULL, 'ACTIVE'),
  ('Dummy Customer 75', 'dummy.customer.75@example.test', '+1-555-1075', 'Acme Division 26 LLC', '75 Test Street, Suite 75, Metro City, TC 10075', '75 Ship Lane, Dock 15, Port Town, PT 90210', 'TAX-1000075', NULL, 'ACTIVE'),
  ('Dummy Customer 76', 'dummy.customer.76@example.test', '+1-555-1076', 'Acme Division 27 LLC', '76 Test Street, Suite 76, Metro City, TC 10076', '76 Ship Lane, Dock 16, Port Town, PT 90210', 'TAX-1000076', NULL, 'ACTIVE'),
  ('Dummy Customer 77', 'dummy.customer.77@example.test', '+1-555-1077', 'Acme Division 28 LLC', '77 Test Street, Suite 77, Metro City, TC 10077', '77 Test Street, Suite 77, Metro City, TC 10077', 'TAX-1000077', NULL, 'ACTIVE'),
  ('Dummy Customer 78', 'dummy.customer.78@example.test', '+1-555-1078', 'Acme Division 29 LLC', '78 Test Street, Suite 78, Metro City, TC 10078', '78 Ship Lane, Dock 18, Port Town, PT 90210', 'TAX-1000078', NULL, 'ACTIVE'),
  ('Dummy Customer 79', 'dummy.customer.79@example.test', '+1-555-1079', 'Acme Division 30 LLC', '79 Test Street, Suite 79, Metro City, TC 10079', '79 Ship Lane, Dock 19, Port Town, PT 90210', 'TAX-1000079', NULL, 'ACTIVE'),
  ('Dummy Customer 80', 'dummy.customer.80@example.test', '+1-555-1080', 'Acme Division 31 LLC', '80 Test Street, Suite 80, Metro City, TC 10080', '80 Ship Lane, Dock 20, Port Town, PT 90210', 'TAX-1000080', NULL, 'ACTIVE'),
  ('Dummy Customer 81', 'dummy.customer.81@example.test', '+1-555-1081', 'Acme Division 32 LLC', '81 Test Street, Suite 81, Metro City, TC 10081', '81 Ship Lane, Dock 21, Port Town, PT 90210', 'TAX-1000081', NULL, 'ACTIVE'),
  ('Dummy Customer 82', 'dummy.customer.82@example.test', '+1-555-1082', 'Acme Division 33 LLC', '82 Test Street, Suite 82, Metro City, TC 10082', '82 Ship Lane, Dock 22, Port Town, PT 90210', 'TAX-1000082', NULL, 'ACTIVE'),
  ('Dummy Customer 83', 'dummy.customer.83@example.test', '+1-555-1083', 'Acme Division 34 LLC', '83 Test Street, Suite 83, Metro City, TC 10083', '83 Ship Lane, Dock 23, Port Town, PT 90210', 'TAX-1000083', NULL, 'ACTIVE'),
  ('Dummy Customer 84', 'dummy.customer.84@example.test', '+1-555-1084', 'Acme Division 35 LLC', '84 Test Street, Suite 84, Metro City, TC 10084', '84 Test Street, Suite 84, Metro City, TC 10084', 'TAX-1000084', NULL, 'ACTIVE'),
  ('Dummy Customer 85', 'dummy.customer.85@example.test', '+1-555-1085', 'Acme Division 36 LLC', '85 Test Street, Suite 85, Metro City, TC 10085', '85 Ship Lane, Dock 25, Port Town, PT 90210', 'TAX-1000085', NULL, 'ACTIVE'),
  ('Dummy Customer 86', 'dummy.customer.86@example.test', '+1-555-1086', 'Acme Division 37 LLC', '86 Test Street, Suite 86, Metro City, TC 10086', '86 Ship Lane, Dock 26, Port Town, PT 90210', 'TAX-1000086', NULL, 'ACTIVE'),
  ('Dummy Customer 87', 'dummy.customer.87@example.test', '+1-555-1087', 'Acme Division 38 LLC', '87 Test Street, Suite 87, Metro City, TC 10087', '87 Ship Lane, Dock 27, Port Town, PT 90210', 'TAX-1000087', NULL, 'ACTIVE'),
  ('Dummy Customer 88', 'dummy.customer.88@example.test', '+1-555-1088', 'Acme Division 39 LLC', '88 Test Street, Suite 88, Metro City, TC 10088', '88 Ship Lane, Dock 28, Port Town, PT 90210', 'TAX-1000088', NULL, 'ACTIVE'),
  ('Dummy Customer 89', 'dummy.customer.89@example.test', '+1-555-1089', 'Acme Division 40 LLC', '89 Test Street, Suite 89, Metro City, TC 10089', '89 Ship Lane, Dock 29, Port Town, PT 90210', 'TAX-1000089', NULL, 'ACTIVE'),
  ('Dummy Customer 90', 'dummy.customer.90@example.test', '+1-555-1090', 'Acme Division 41 LLC', '90 Test Street, Suite 90, Metro City, TC 10090', '90 Ship Lane, Dock 0, Port Town, PT 90210', 'TAX-1000090', NULL, 'ACTIVE'),
  ('Dummy Customer 91', 'dummy.customer.91@example.test', '+1-555-1091', 'Acme Division 42 LLC', '91 Test Street, Suite 91, Metro City, TC 10091', '91 Test Street, Suite 91, Metro City, TC 10091', 'TAX-1000091', NULL, 'ACTIVE'),
  ('Dummy Customer 92', 'dummy.customer.92@example.test', '+1-555-1092', 'Acme Division 43 LLC', '92 Test Street, Suite 92, Metro City, TC 10092', '92 Ship Lane, Dock 2, Port Town, PT 90210', 'TAX-1000092', NULL, 'ACTIVE'),
  ('Dummy Customer 93', 'dummy.customer.93@example.test', '+1-555-1093', 'Acme Division 44 LLC', '93 Test Street, Suite 93, Metro City, TC 10093', '93 Ship Lane, Dock 3, Port Town, PT 90210', 'TAX-1000093', NULL, 'ACTIVE'),
  ('Dummy Customer 94', 'dummy.customer.94@example.test', '+1-555-1094', 'Acme Division 45 LLC', '94 Test Street, Suite 94, Metro City, TC 10094', '94 Ship Lane, Dock 4, Port Town, PT 90210', 'TAX-1000094', NULL, 'ACTIVE'),
  ('Dummy Customer 95', 'dummy.customer.95@example.test', '+1-555-1095', 'Acme Division 46 LLC', '95 Test Street, Suite 95, Metro City, TC 10095', '95 Ship Lane, Dock 5, Port Town, PT 90210', 'TAX-1000095', NULL, 'ACTIVE'),
  ('Dummy Customer 96', 'dummy.customer.96@example.test', '+1-555-1096', 'Acme Division 47 LLC', '96 Test Street, Suite 96, Metro City, TC 10096', '96 Ship Lane, Dock 6, Port Town, PT 90210', 'TAX-1000096', NULL, 'ACTIVE'),
  ('Dummy Customer 97', 'dummy.customer.97@example.test', '+1-555-1097', 'Acme Division 48 LLC', '97 Test Street, Suite 97, Metro City, TC 10097', '97 Ship Lane, Dock 7, Port Town, PT 90210', 'TAX-1000097', NULL, 'ACTIVE'),
  ('Dummy Customer 98', 'dummy.customer.98@example.test', '+1-555-1098', 'Acme Division 49 LLC', '98 Test Street, Suite 98, Metro City, TC 10098', '98 Test Street, Suite 98, Metro City, TC 10098', 'TAX-1000098', NULL, 'ACTIVE'),
  ('Dummy Customer 99', 'dummy.customer.99@example.test', '+1-555-1099', 'Acme Division 50 LLC', '99 Test Street, Suite 99, Metro City, TC 10099', '99 Ship Lane, Dock 9, Port Town, PT 90210', 'TAX-1000099', NULL, 'ACTIVE'),
  ('Dummy Customer 100', 'dummy.customer.100@example.test', '+1-555-1100', 'Acme Division 1 LLC', '100 Test Street, Suite 100, Metro City, TC 10100', '100 Ship Lane, Dock 10, Port Town, PT 90210', 'TAX-1000100', NULL, 'ACTIVE'),
  ('Dummy Customer 101', 'dummy.customer.101@example.test', '+1-555-1101', 'Acme Division 2 LLC', '101 Test Street, Suite 101, Metro City, TC 10101', '101 Ship Lane, Dock 11, Port Town, PT 90210', 'TAX-1000101', NULL, 'ACTIVE'),
  ('Dummy Customer 102', 'dummy.customer.102@example.test', '+1-555-1102', 'Acme Division 3 LLC', '102 Test Street, Suite 102, Metro City, TC 10102', '102 Ship Lane, Dock 12, Port Town, PT 90210', 'TAX-1000102', NULL, 'ACTIVE'),
  ('Dummy Customer 103', 'dummy.customer.103@example.test', '+1-555-1103', 'Acme Division 4 LLC', '103 Test Street, Suite 103, Metro City, TC 10103', '103 Ship Lane, Dock 13, Port Town, PT 90210', 'TAX-1000103', NULL, 'ACTIVE'),
  ('Dummy Customer 104', 'dummy.customer.104@example.test', '+1-555-1104', 'Acme Division 5 LLC', '104 Test Street, Suite 104, Metro City, TC 10104', '104 Ship Lane, Dock 14, Port Town, PT 90210', 'TAX-1000104', NULL, 'ACTIVE'),
  ('Dummy Customer 105', 'dummy.customer.105@example.test', '+1-555-1105', 'Acme Division 6 LLC', '105 Test Street, Suite 105, Metro City, TC 10105', '105 Test Street, Suite 105, Metro City, TC 10105', 'TAX-1000105', NULL, 'ACTIVE'),
